gpu_trans_count,year
3500000,1997
8000000,1999
15000000,1999
17500000,1999
20000000,2000
25000000,2000
30000000,2000
57000000,2001
60000000,2001
63000000,2002
107000000,2002
117000000,2003
135000000,2003
160000000,2004
222000000,2004
303000000,2005
321000000,2005
384000000,2006
681000000,2006
700000000,2007
754000000,2007
959000000,2008
1400000000,2008
2154000000,2009
2640000000,2010
3200000000,2010
3000000000,2010
3540000000,2012
4312711873,2011
7080000000,2012
6300000000,2013
